title,portal_title,parent_and_id_1,parent_and_id_2,type,url,begin,nuts,ags,rs,gml,wikidata,accountable,email,twitter,facebook,hosting,technology,api,api_list_children,dcat_ap_de,last_check
Aachen,Aachen,offenedaten.aachen.de|stadt-aachen,,municipality,https://offenedaten.aachen.de/organization/stadt-aachen,,,,053340002002,https://registry.gdi-de.org/id/de.bund.bkg.regschluessel/053340002002,Q1017,,,,,,,,,,2023-02-05
Aachen (Portal),Aachen,ckan.open.nrw.de|aachen,,portal,https://offenedaten.aachen.de/,,,,,,Q97145394,,offenedaten@mail.aachen.de,https://twitter.com/opendataaachen,,regio iT - gesellschaft für informationstechnologie mbH,CKAN,http://offenedaten.aachen.de/api/3/action/package_list,https://offenedaten.aachen.de/api/3/action/organization_list,,2023-02-05
,Altenberge,,,municipality,https://www.o-sp.de/altenberge/opendata,,DEA37,05566004,055660004004,,,,,,,,,,,,2021-03-03
,Altenburg,,,municipality,https://www.altenburg.eu/sixcms/detail.php?id=139875,,DEG0M,16077001,160770001001,,,,,,,,Website,,,,2019-08-10
Amt Süderbrarup,Amt Süderbrarup,opendata.schleswig-holstein.de|amt-suederbrarup,,collectiveMunicipality,https://opendata.schleswig-holstein.de/organization/amt-suederbrarup,,,,010595974,https://registry.gdi-de.org/id/de.bund.bkg.regschluessel/010595974,Q316729,,,,,,,,,,2023-02-05
,Andernach,,,municipality,https://daten.rlp.de/organization/stadt_andernach,,DEB17,07137003,071370003003,,,,,,,,,,,,2021-03-03
,Arnsberg,,,municipality,http://offenedaten.arnsberg.de,,DEA57,05958004,059580004004,,,Elmar Kettler,pressestelle.kettler@arnsberg.de,,,,Website,,,,2019-08-10
,Attendorn,,,municipality,https://www.o-sp.de/attendorn/opendata,,DEA59,05966004,059660004004,,,,,,,,,,,,2021-03-03
AWSH - Abfallwirtschaft Südholstein GmbH,AWSH - Abfallwirtschaft Südholstein GmbH,opendata.schleswig-holstein.de|awsh-abfallwirtschaft-sudholstein-gmbh,,dumping,https://opendata.schleswig-holstein.de/organization/awsh-abfallwirtschaft-sudholstein-gmbh,,,,,,,,,,,,,,,,2023-02-05
,Bad Münstereifel,,,municipality,http://offenedaten.kdvz-frechen.de/group/bad-m%C3%BCnstereifel,2016-11-08,DEA28,05366004,053660004004,,,,offene-daten@kdvz-frechen.de,https://twitter.com/OpenDataKDVZ,,Stadt Köln,DKAN,,,,2019-08-10
,Bedburg,,,municipality,http://offenedaten.kdvz-frechen.de/group/bedburg,2017-04-29,DEA27,05362004,053620004004,,,,offene-daten@kdvz-frechen.de,https://twitter.com/OpenDataKDVZ,,Stadt Köln,DKAN,,,,2019-08-10
,Bergheim,,,municipality,http://offenedaten.kdvz-frechen.de/group/bergheim,2016-11-08,DE21I,09185118,091855154118,,,,offene-daten@kdvz-frechen.de,https://twitter.com/OpenDataKDVZ,,Stadt Köln,DKAN,,,,2019-08-10
,Bergkamen,,,municipality,https://www.o-sp.de/bergkamen/opendata,,DEA5C,05978004,059780004004,,,,,,,,,,,,2021-03-03
,Bielefeld,,,municipality,https://open-data.bielefeld.de/,,DEA41,05711000,057110000000,,,,opendata@bielefeld.de,,,Stadt Köln,DKAN,https://open-data.bielefeld.de/api/3/action/package_list,,,2019-08-10
,Bocholt,,,municipality,via Musterdatenkatalog Deutschland,,DEA34,05554008,055540008008,,,,,,,,,,,,
,Bochum,,,municipality,http://www.bochum.de/opendata,,DEA51,05911000,059110000000,,,Frau auf'm Kamp und Frau Hartweg und Frau Vidakovic,"info@bochum.de ",,,,Website,,,,2019-08-10
,Bönen,,,municipality,https://www.o-sp.de/boenen/opendata.php,,DEA5C,05978008,059780008008,,,,,,,,,,,,2021-03-03
,Bonn,,,municipality,http://opendata.bonn.de/,2014-05-28,DEA22,05314000,053140000000,,,Sven Hense,opendata@bonn.de,https://twitter.com/opendatabonn,,Stadt Köln,DKAN,https://opendata.bonn.de/api/3/action/package_list,,,2019-07-30
,Bottrop,,,municipality,https://www.offenesdatenportal.de/organization/stadt-bottrop,,DEA31,05512000,055120000000,,,,,,,,,,,,2021-03-03
,Braunschweig,,,municipality,http://www.braunschweig.de/leben/stadtplanung_bauen/geoinformationen/opengeodata.html,,DE911,03101000,031010000000,,,,opengeodata@braunschweig.de,,,,Website,,,,2019-08-04
,Brohltal,,,municipality,https://daten.rlp.de/organization/vg_brohltal,,,,,,,,,,,,,,,,2021-03-03
,Brühl (Rheinland),,,municipality,http://offenedaten.kdvz-frechen.de/group/br%C3%BChl,2016-11-08,,,,,,,offene-daten@kdvz-frechen.de,https://twitter.com/OpenDataKDVZ,,Stadt Köln,DKAN,,,,2019-08-10
,Burgbrohl,,,municipality,https://daten.rlp.de/organization/og_burgbrohl,,DEB12,07131202,071315004202,,,,,,,,,,,,2021-03-03
,Chemnitz,,,municipality,http://portal-chemnitz.opendata.arcgis.com/,2017-03-07,DED41,14511000,145110000000,,,,,,,Amt für Informationsverarbeitung,ArcGIS,,,,2019-08-10
,Cochem,,,municipality,https://daten.rlp.de/organization/verbandsgemeinde_cochem,,DEB1C,07135020,071355001020,,,,,,,,,,,,2021-03-03
,Dedenbach,,,municipality,https://daten.rlp.de/organization/og_dedenbach,,DEB12,07131016,071315004016,,,,,,,,,,,,2021-03-03
,Dierdorf,,,municipality,https://daten.rlp.de/organization/verbandsgemeinde_dierdorf,,DEB18,07138012,071385003012,,,,,,,,,,,,2021-03-03
,Dormagen,,,municipality,https://opendata.dormagen.de,2017-12-07,DEA1D,05162004,051620004004,,,,opendata@stadt-dormagen.de,,,OpenDataSoft,OpenDataSoft,https://opendata.dormagen.de/api/v2/catalog/datasets,,,2019-07-29
,Dortmund,,,municipality,https://opendata.dortmund.de/,2018-08-23,DEA52,05913000,059130000000,,,,opendata@dortmund.de,,,,Website,,,,2019-08-11
,Dresden,,,municipality,https://opendata.dresden.de,,DED21,14612000,146120000000,,,,statistik@dresden.de,,,,DUVA,,,,2019-08-11
,Duisburg,,,municipality,https://opendata-duisburg.de/,2019-03-19,DEA12,05112000,051120000000,,,,,,,Stadt Köln,DKAN,https://opendata-duisburg.de/api/3/action/package_list,,https://opendata-duisburg.de/catalog.xml,2019-07-29
,Dülmen,,,municipality,https://www.o-sp.de/duelmen/opendata.php,,DEA35,05558016,055580016016,,,,,,,,,,,,2021-03-03
,Düsseldorf,,,municipality,https://opendata.duesseldorf.de/,2017-12-06,DEA11,05111000,051110000000,,,,opendata@duesseldorf.de,https://twitter.com/opendataddorf,,Stadt Köln,DKAN,https://opendata.duesseldorf.de/api/3/action/package_list,,https://opendata.duesseldorf.de/catalog.xml,2019-07-29
,Eich,,,municipality,https://daten.rlp.de/organization/verbandsgemeinde_eich,,DEB3B,07331018,073315002018,,,,,,,,,,,,2021-03-03
,Elsdorf (Rheinland),,,municipality,http://offenedaten.kdvz-frechen.de/group/elsdorf,2016-11-08,,,,,,,offene-daten@kdvz-frechen.de,https://twitter.com/OpenDataKDVZ,,Stadt Köln,DKAN,,,,2019-08-10
,Emmelshausen,,,municipality,https://daten.rlp.de/organization/verbandsgemeinde_emmelshausen,,DEB1D,07140036,071405002036,,,,,,,,,,,,2021-03-03
,Emsdetten,,,municipality,https://www.emsdetten.de/bauen-wohnen-umwelt-verkehr/planen/bauleitplanung-online/open-data-im-bereich-bauleitplanung-in-emsdetten/,,DEA37,05566008,055660008008,,,,,,,,,,,,2021-03-03
,Ennigerloh,,,municipality,https://www.o-sp.de/ennigerloh/opendata.php,,DEA38,05570020,055700020020,,,,,,,,,,,,2021-03-03
,Erftstadt,,,municipality,https://www.o-sp.de/erftstadt/opendata.php,,DEA27,05362020,053620020020,,,,,,,,,,,,2021-03-03
,Erzenhausen,,,municipality,https://daten.rlp.de/organization/ortsgemeinde_erzenhausen,,DEB3F,07335005,073355009005,,,,,,,,,,,,2021-03-03
,Essen,,,municipality,https://opendata.essen.de/,,DEA13,05113000,051130000000,,,,opendata@essen.de,,,Stadt Köln,DKAN,https://opendata.essen.de/api/3/action/package_list,,https://opendata.essen.de/catalog.xml,2019-10-26
,Eulenbis,,,municipality,https://daten.rlp.de/organization/ortsgemeinde_eulenbis,,DEB3F,07335006,073355009006,,,,,,,,,,,,2021-03-03
,Euskirchen,,,municipality,https://www.o-sp.de/euskirchen/opendata.php,,DEA28,05366016,053660016016,,,,,,,,,,,,2021-03-03
,Everswinkel,,,municipality,https://www.o-sp.de/everswinkel/opendata,,DEA38,05570024,055700024024,,,,,,,,,,,,2021-03-03
,Frankfurt am Main,,,municipality,http://offenedaten.frankfurt.de/,2014-10-15,DE712,06412000,064120000000,,,Michael Leist,offene.daten@stadt-frankfurt.de,,,,CKAN,http://offenedaten.frankfurt.de/api/3/action/package_list,,,2019-08-04
,Freiburg im Breisgau,,,municipality,http://opendata.freiburg.de,2017-04-01,DE131,08311000,083110000000,,,Thomas Willmann,thomas.willmann@stadt.freiburg.de,http://twitter.com/freiburg,http://www.facebook.com/stadtfreiburg,badenIT GmbH,Website,https://fritz.freiburg.de/duva2ckan/files/,,,2019-11-05
,Galenberg,,,municipality,https://daten.rlp.de/organization/ortsgemeinde_galenberg,,DEB12,07131204,071315004204,,,,,,,,,,,,2021-03-03
,Geldern,,,municipality,https://www.offenesdatenportal.de/organization/stadt-geldern,,DEA1B,05154012,051540012012,,,,,,,,,,,,2021-03-03
,Gelsenkirchen,,,municipality,https://opendata.gelsenkirchen.de/,2017-05-23,DEA32,05513000,055130000000,,,Ulrike Karn und Manfred vom Sondern,ulrike.karn@gelsenkirchen.de,,,gkd-el,DKAN,https://opendata.gelsenkirchen.de/api/3/action/package_list,,,2019-08-10
,Gerolstein,,,municipality,https://daten.rlp.de/organization/verbandsgemeinde_gerolstein,,DEB24,07233026,072335002026,,,,,,,,,,,,2021-03-03
,Glees,,,municipality,https://daten.rlp.de/organization/ortsgemeinde_glees,,DEB12,07131205,071315004205,,,,,,,,,,,,2021-03-03
,Glückstadt,,,municipality,https://opendata.schleswig-holstein.de/organization/glueckstadt,,DEF0E,01061029,010610029029,,,,,,,,,,,,2021-03-04
,Goch,,,municipality,https://www.offenesdatenportal.de/organization/stadt-goch,,DEA1B,05154016,051540016016,,,Torsten Matenaers,pressestelle@goch.de,,,,,,,,2021-03-03
,Grafschaft,,,municipality,https://daten.rlp.de/organization/gemeinde_grafschaft,,DEB12,07131090,071310090090,,,,,,,,,,,,2021-03-03
,Grevenbroich,,,municipality,https://www.o-sp.de/grevenbroich/opendata.php,,DEA1D,05162008,051620008008,,,,,,,,,,,,2021-03-03
,Gronau,,,municipality,via Musterdatenkatalog Deutschland,,,,,,,,,,,,,,,,
,Haan,,,municipality,via Musterdatenkatalog Deutschland,,DEA1C,05158008,051580008008,,,,,,,,,,,,
,Hagen,,,municipality,https://opendata.ruhr/organization/hagen,,DEA53,05914000,059140000000,,,,,,,,,,,,2021-03-04
,Halle (Saale),,,municipality,http://opendata.halle.de,,DEE02,15002000,150020000000,,,,opendata@halle.de,,,,Website,,,,2019-08-10
